title,embed_url,question_text,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
Monster-in-Law - Viola and Charlie Face-to-Face,https://www.youtube.com/embed/eB2rmMijS7w?start=95&end=163,What does the older lady think about this turn of events?,I think that the older woman hates her and doesn't want to wear the dress or be the matron of honor,She is upset and starts crying.,The older woman is excited about being the matron of honor.,The older woman is confused because she has never been to a wedding.
Please Stand By - Script,https://www.youtube.com/embed/dZJquokTMfg?start=0&end=52,What did the girl want the woman to read?,She wanted her to read a movie script.,The newspaper.,She wanted her to read a research paper,She wanted her to read a song
Please Stand By - Script,https://www.youtube.com/embed/dZJquokTMfg?start=0&end=52,Does Scottie want to read the script?,She probably does not want to read it.,Yes. Scottie is a huge fan of hers and will read it.,Yes. She has been reading it all along in secret.,No. She cannot understand English.
Please Stand By - Script,https://www.youtube.com/embed/dZJquokTMfg?start=0&end=52,Do you think the woman who will read the script believes it will be good?,"No, she will not think that the script will be good.","Yes, she will think the script will be the best","Yes, she would enjoy it and read it multiple times","No, she thinks the script will be too short"
Please Stand By - Script,https://www.youtube.com/embed/dZJquokTMfg?start=0&end=52,What does Scottie think of the script?,Scottie thinks the script is too long.,Scottie thinks the script is stolen,Scottie thinks it will win awards.,Scottie thinks the script isn't detailed enough
Please Stand By - Script,https://www.youtube.com/embed/dZJquokTMfg?start=0&end=52,What did the girl ask Scottie?,If she'll read her movie script.,If she'll help her write a song,If she'll help with her homework,If she'll go to dinner with her
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,What meat dish did Debra prepare for the meal?,Chicken,Pizza,Hamburgers,Spaghetti
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,Why did Debra say she liked Angela?,Because she complimented her cooking,Because she speaks four languages.,Because they went to elementary school together.,Because Angela helped Debra find a great investment.
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,Why does Raymond recommend meeting their parents?,They are Italian like her parents,So they can all go shopping together.,In order to teach their parents about international trade.,They are fun people to meet.
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,Why does Angela's date tell everyone that Angela speaks four languages?,To impress them,To make others feel inferior.,To make others want to learn more languages.,To bore them.
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,What does Angela deal with?,International trade,Special education,The stock market,Corporate law
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,Why does she know all those languages?,"Her parents are Italian, and she studied the other languages.",She travelled the world during school.,She grew up speaking all of the languages.,She learned the languages on her own in elementary school.
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,How many languages does Angela speak?,Four,Three,Just English,Two. English and Spanish
Raymond and the Fly,https://www.youtube.com/embed/6-R-LyNrAo4?start=0&end=38,Why did Angela change the topic to chicken?,Because she was uncomfortable with meeting Raymond's parents.,Because the chicken didn't taste good.,Because she wanted to learn how the chicken was made.,She didn't want to talk about her job.
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,What was happening between the two people?,They were having a job interview.,They were conducting a sales transaction,They were making dinner plans.,They were giving each other advice.
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,What was Andy doing in an office?,Interviewing for a job,Andy wanted to buy a new outfit,Going to see her old boss.,Delivering mail.
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,What did the interviewee originally come to New York to be?,A journalist,An actress,A mechanic,A banker
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,"In terms of her role, who was the woman sitting at the desk?",She is the boss,She was the cashier on her break,She is the assistant.,She is the owner of the building.
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,Why does the woman sitting at the desk barely look at Andy?,She believes Andy is beneath her culturally and intellectually.,She is too shy,She was looking through her resume.,She was on the phone.
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,How do you think Andy feels after talking with this woman?,Defeated and insulted.,Amused.,Inspired.,Extremely hopeful she will get the job
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,Does the woman at the desk think Andy would be a good fit for the company?,"No, she believes because she doesn't read or know anything about fashion she would not be good at it.",Yes because of her background in the fashion industry she would be a good fit.,"Yes, she hires her on the spot.","Yes, she was highly recommended by one of the interviewers friends."
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,Does the interviewer have a high opinion of the interviewee,No. The interviewer says that the interviewee has no style or sense of fashion.,Yes she compliments her beige jacket.,There was no way of knowing.,"No, the interviewer says the interviewee is over-dressed."
The Devil Wears Prada - Andy's Interview,https://www.youtube.com/embed/b2f2Kqt_KcE?start=0&end=60,Why does Andy smile at the woman sitting at the desk?,She wants her to hire her and like her.,She thought the joke was funny,She was trying to show off her perfect teeth,She is happy.
The Lorax - Let It Grow,https://www.youtube.com/embed/DUvHO33iaxg?start=0&end=60,What is around the kid's neck?,A pair of goggles.,A wireless bluetooth ear piece.,A necklace,A whistle.
The Lorax - Let It Grow,https://www.youtube.com/embed/DUvHO33iaxg?start=0&end=60,what does everyone think about the seed the kid shows?,They are surprised and shocked.,They are bored and tired.,They are scared and terrorized.,They are angry and upset.
The Lorax - Let It Grow,https://www.youtube.com/embed/DUvHO33iaxg?start=0&end=60,What does the crowd think of Ted's speech?,The crowd feels very enthused and excited.,The crowd is mad,The crowd felt really scared.,The crowd feels bored and uninterested.
The Lorax - Let It Grow,https://www.youtube.com/embed/DUvHO33iaxg?start=0&end=60,What does Ted hold in his hand?,Ted has a seed in his hand.,He'd holding a shovel,A gold coin.,Ted holds a solar panel in his hand.
The Lorax - Let It Grow,https://www.youtube.com/embed/DUvHO33iaxg?start=0&end=60,What is Ted trying to do by speaking to the crowd?,Ted is trying to convince the crowd to plant the seed.,Trying to get them to buy something,Ted is trying to convince the crowd to cut more trees.,Ted is trying to convince the crowd to clean the water.
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,How did the family feel about having Carla home?,They were glad to have her back.,They were upset with her.,They were angry that she had to move back in,They didn't want to see her.
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,How did the family respond to Carla when she came in the front door?,"They seemed tentative, but they were happy and welcomed her.",They all ran away from her,They started yelling at her.,They were all quiet and didn't say a word
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,How was Carla feeling before she came through the front door?,Shy and uncertain,Angry with a mean look on her face.,Enthusiastic,Laughing like she had just heard the funniest joke.
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,What was the name of Carla's fish?,Tickles,Snowpuff,Nemo,Barney
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,Who was coming home?,Carla,Mom,Carol,Dad
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,What didn't Carla want taken from her?,Her coat,Her hat,Her fish.,Her dog
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,Who was waiting for Carla when she came in the front door?,"Jeff Reid, Mom, Dad, and the sisters",Pizza delivery guy,The Doctor,Carla's high school classmates
The Other Sister,https://www.youtube.com/embed/8W9BmJy4bDA?start=342&end=396,How was Carla feeling at the end of the clip?,Excited for her sister but put-off by people she didn't know well.,Sad like she wanted to cry.,Upset that her best friend was not there.,Sleepy like she wanted to take a nap.
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,What might the mother think when she wakes up?,How did I get here?,That she likes floating on the water.,It's a good day for a swim!,That she wants to go back to sleep.
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,What might happen to the girls after the mother wakes up?,They might get in trouble or get punished.,The mother will appreciate their efforts.,They will be asked what they want for breakfast,They may get an increase in their allowance
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,Why do the girls enter the tent?,to drag their mom out.,To wake up their mom.,To get some snacks,To go to sleep
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,Why do the girls put the air mattress on the lake?,They want to play a prank on the mother.,They want to help their mother.,To clean the dirt off it,They want to sleep on the lake
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,What did the twins pull out of the tent?,A woman sleeping on an air mattress.,A tree branch,A dog eating the food,A pile of laundry
The Parent Trap - The Final Trap for Meredith,https://www.youtube.com/embed/7fRbN_zs28g?start=8&end=85,What are the girls doing when dragging the woman on her bed?,Giggling and laughing.,They were crying and screaming.,The girls are out of breath and in pain,They were tripping and falling.
